구별,강간,강도,살인,절도,폭력,강간검거율,강도검거율,살인검거율,절도검거율,폭력검거율,인구수,CCTV,범죄,검거
강남구,0.9999999999999999,0.9999999999999999,0.19999999999999996,1.0,1.0,80.03875968992247,100.0,100.0,53.4708670197937,88.13093453273363,565731.0,3238,0.16799999999999998,84.32811224848996
강동구,0.13592233009708732,0.3055555555555555,0.09999999999999998,0.32635060639470787,0.42522452167122227,95.0,92.85714285714286,100.0,51.425313568985175,86.99604743083003,446760.0,1010,0.05172212054874292,85.25570077139162
강북구,0.27427184466019416,0.055555555555555566,0.4,0.13083425211319366,0.5220616946505272,73.27188940092167,80.0,85.71428571428571,54.99181669394435,89.34485241180705,329042.0,831,0.055308933879178825,76.66456884419176
강서구,0.4150485436893203,0.19444444444444448,0.6,0.3991179713340684,0.688402967590785,86.9090909090909,100.0,100.0,54.815573770491795,86.3920099875156,607877.0,911,0.09188055708234473,85.62333493341967
관악구,0.529126213592233,0.25,0.30000000000000004,0.45461227489893424,0.7005076142131981,81.98757763975155,83.33333333333334,100.0,44.55539705183072,83.67851622874807,522849.0,2109,0.08936984410817463,78.71096485073274
광진구,0.424757281553398,0.2222222222222222,0.09999999999999998,0.6504961411245866,0.3713393205778993,83.87096774193549,54.54545454545454,100.0,40.098634294385434,84.07190635451505,372414.0,878,0.07075259861912425,72.51739258725812
구로구,0.4101941747572815,0.19444444444444448,0.6,0.3836824696802646,0.672784068723155,66.30036630036629,100.0,100.0,45.07853403141361,84.70290771175726,443288.0,1884,0.09044420630420583,79.21636160870744
금천구,0.17233009708737862,0.11111111111111109,0.30000000000000004,0.1462697537669974,0.2936352987114409,81.71428571428572,100.0,100.0,51.74050632911392,88.73689010487917,253646.0,1348,0.040933850427077124,84.43833642965576
노원구,0.1334951456310679,0.08333333333333333,0.19999999999999996,0.3642043366409408,0.4197579070675518,89.30817610062893,100.0,100.0,39.84921917070544,84.41971383147853,562278.0,1566,0.04803162890691575,82.71542182056258
도봉구,0.04611650485436891,0.055555555555555566,0.0,0.0,0.0,98.3739837398374,100.0,100.0,56.812933025404156,90.83969465648855,347338.0,825,0.0040668824163969785,89.20532228434601
동대문구,0.20873786407766987,0.19444444444444448,0.19999999999999996,0.3947078280044101,0.4689574385005857,83.15789473684211,100.0,100.0,55.206185567010316,89.96971990915974,367769.0,1870,0.0586739030010844,85.66676004260242
동작구,0.5364077669902912,0.11111111111111109,0.5,0.1323042998897464,0.08590394377196409,45.84615384615385,100.0,75.0,45.18760195758564,86.93558097531607,410703.0,1302,0.0546290848705245,70.59386735581111
마포구,0.7160194174757281,0.027777777777777776,0.09999999999999998,0.6104373392135245,0.5849277625927374,80.20050125313283,100.0,100.0,37.198258804907006,85.06294658046954,387776.0,980,0.08156649188239071,80.49234132770188
서대문구,0.17233009708737862,0.055555555555555566,0.30000000000000004,0.23410510841602356,0.20890277235454902,84.0,80.0,100.0,50.033266799733866,83.19838056680162,326479.0,1254,0.038835741336540275,79.44632947330709
서초구,0.7864077669902912,0.2777777777777778,0.19999999999999996,0.492098493201029,0.35025380710659904,63.3177570093458,76.92307692307693,100.0,50.204081632653065,86.7835757057314,447177.0,2297,0.08426151380302788,75.44569825416144
성동구,0.0,0.0,0.09999999999999998,0.15803013597941934,0.06950409996095275,75.0,100.0,100.0,69.1358024691358,86.96726374305128,312933.0,1327,0.013101369437614882,86.22061324243741
성북구,0.12135922330097082,0.1388888888888889,0.09999999999999998,0.22197721425946343,0.26044513861772756,75.97402597402598,100.0,75.0,49.31972789115646,86.29032258064517,458261.0,1651,0.03370681860268203,77.31681528916553
송파구,0.31553398058252424,0.3333333333333333,0.6,0.6163175303197355,0.7215931276844982,78.63247863247864,80.0,88.88888888888889,41.211167911915055,85.37549407114624,668366.0,1081,0.10347111887680364,74.82160590088577
양천구,0.06553398058252424,0.11111111111111109,0.19999999999999996,0.31348768834987134,0.3158922295978134,82.44274809160305,100.0,100.0,43.92088423502037,85.24444444444444,476627.0,2482,0.0402410003856528,82.32161535421358
영등포구,0.6116504854368932,0.4444444444444445,1.0,0.5420801176038221,0.8402967590784851,63.20224719101124,73.68421052631578,100.0,40.153780435711234,83.69050932368495,401908.0,1277,0.1375388722625458,72.14614949534464
용산구,0.3567961165048543,0.16666666666666669,0.09999999999999998,0.22895994119808888,0.36821554080437335,85.2589641434263,100.0,100.0,40.22834116856951,84.22818791946308,243922.0,2096,0.048825530606959336,81.94309864629177
은평구,0.12621359223300965,0.16666666666666669,0.30000000000000004,0.29400955531054757,0.47754783287778224,91.02564102564102,77.77777777777779,100.0,53.421368547418965,86.63663663663664,491899.0,2108,0.05457750588352025,81.77228479749489
종로구,0.3252427184466019,0.25,0.30000000000000004,0.3947078280044101,0.3209683717297931,74.36974789915966,75.0,33.33333333333333,39.58762886597938,87.36190897039329,164640.0,1619,0.06363675672723221,61.93052381377313
중구,0.2281553398058252,0.1388888888888889,0.0,0.47188533627342893,0.30613041780554473,74.74747474747475,87.5,100.0,42.51162790697675,89.70786516853933,134174.0,1023,0.045802399310947504,78.89339356459817
중랑구,0.14563106796116504,0.3055555555555555,0.5,0.3031973539140022,0.672784068723155,91.46341463414635,100.0,87.5,62.211709047900655,85.71428571428571,414554.0,916,0.07708672184615512,85.37788187926654
